epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,0.5181398302316665,0.7875,0.4728249549865723,0.7,6e-05
2,0.3445795901119709,0.925,0.270241904258728,1.0,6e-05
3,0.27449787557125094,0.98125,0.2829381346702576,0.95,6e-05
4,0.25145439952611925,0.99375,0.24327345788478852,1.0,6e-05
5,0.23978541642427445,1.0,0.24280235469341277,1.0,6e-05
6,0.23830252960324289,1.0,0.2613547146320343,1.0,6e-05
7,0.23547653183341027,1.0,0.2440875768661499,1.0,6e-05
8,0.23107608333230018,1.0,0.25769381523132323,1.0,6e-05
