epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,0.5558738127350807,0.75,0.6643141984939576,0.6,0.0001
2,0.29924439191818236,0.91875,0.2590857744216919,0.95,0.0001
3,0.22804009765386582,0.9625,0.20180723667144776,1.0,0.0001
4,0.1806415617465973,1.0,0.1797316312789917,1.0,0.0001
5,0.17587922364473343,1.0,0.169725638628006,1.0,0.0001
6,0.18761478066444398,0.99375,0.17110881209373474,1.0,0.0001
7,0.1820228613913059,0.99375,0.19166205823421478,1.0,0.0001
8,0.2076943598687649,0.98125,0.19849895238876342,1.0,0.0001
9,0.17645713537931443,1.0,0.17010687291622162,1.0,4e-05
10,0.17492779791355134,1.0,0.1690037488937378,1.0,4e-05
11,0.1701888211071491,1.0,0.1685722589492798,1.0,4e-05
12,0.17064701318740844,1.0,0.16880613267421724,1.0,4e-05
13,0.16935206949710846,1.0,0.168641659617424,1.0,4e-05
14,0.1695036232471466,1.0,0.16876245141029358,1.0,4e-05
15,0.16919861659407615,1.0,0.1687234342098236,1.0,1.6000000000000003e-05
16,0.16943946108222008,1.0,0.1688323438167572,1.0,1.6000000000000003e-05
