epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,0.8735359396253314,0.55,0.6866883933544159,0.5333333333333333,0.0005
2,1.1283355729920523,0.6214285714285714,0.6680865546067556,0.6,0.0005
3,0.7190847652299064,0.6571428571428571,0.6194208820660909,0.7333333333333333,0.0005
4,0.48221336432865686,0.7571428571428571,0.5394713282585144,0.6666666666666666,0.0005
5,0.4396346722330366,0.8,0.6770936260620753,0.6666666666666666,0.0005
6,0.4558150155203683,0.7857142857142857,0.44900546471277875,0.8,0.0005
7,0.2952364053045,0.8642857142857143,0.47104639212290444,0.8,0.0005
8,0.45858237062181745,0.7714285714285715,0.5154233813285828,0.8,0.0005
9,0.2700878211430141,0.8785714285714286,0.4274220923582713,0.8,0.00025
10,0.27514112506593974,0.8714285714285714,0.35904834469159447,0.8666666666666667,0.00025
11,0.30312857798167636,0.8857142857142857,0.3771816432476044,0.8666666666666667,0.00025
12,0.27321828859192987,0.8642857142857143,0.323165903488795,0.9,0.00025
13,0.2640397499714579,0.8928571428571429,0.5562706088026365,0.8,0.00025
14,0.23592416729245866,0.9071428571428571,0.3460353374481201,0.8666666666666667,0.00025
15,0.17307003417185374,0.9428571428571428,0.4380723496278127,0.8666666666666667,0.000125
