epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,0.6406924903392792,0.6375,0.7072407007217407,0.6,5e-05
2,0.41162875294685364,0.89375,0.44576640129089357,0.8,5e-05
3,0.2828282952308655,0.975,0.2810719609260559,0.95,5e-05
4,0.25411982238292696,1.0,0.3182976543903351,0.9,5e-05
5,0.23898053392767907,1.0,0.3001888632774353,0.9,5e-05
6,0.23423136174678802,1.0,0.2555816054344177,1.0,5e-05
7,0.2368025504052639,1.0,0.2864307463169098,0.95,5e-05
8,0.23324645608663558,1.0,0.24204907417297364,1.0,5e-05
9,0.23238779231905937,1.0,0.2345288574695587,1.0,5e-05
10,0.23126741051673888,1.0,0.24285515546798705,1.0,5e-05
11,0.23113481029868127,1.0,0.23965128064155578,1.0,5e-05
12,0.23000922054052353,1.0,0.23850528597831727,1.0,5e-05
