epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,0.4979046478867531,0.8,0.3267991006374359,0.9,8e-05
2,0.2891130469739437,0.9625,0.25685131549835205,0.95,8e-05
3,0.23960742428898812,0.975,0.26181545853614807,0.95,8e-05
4,0.21806278750300406,1.0,0.2064668595790863,1.0,8e-05
5,0.2073011003434658,1.0,0.20592689514160156,1.0,8e-05
6,0.20479241460561753,1.0,0.21575111150741577,1.0,8e-05
7,0.20342665091156958,1.0,0.20166246294975282,1.0,8e-05
8,0.2006293438374996,1.0,0.2043268859386444,1.0,8e-05
9,0.20057162269949913,1.0,0.20064855217933655,1.0,8e-05
10,0.1998559132218361,1.0,0.20015580654144288,1.0,8e-05
11,0.1995810955762863,1.0,0.2021297037601471,1.0,8e-05
12,0.1999104842543602,1.0,0.20191857516765593,1.0,8e-05
13,0.20058410093188286,1.0,0.20078442692756654,1.0,8e-05
14,0.1992577999830246,1.0,0.2006517767906189,1.0,3.2000000000000005e-05
15,0.1993526041507721,1.0,0.20080088675022126,1.0,3.2000000000000005e-05
